CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,IDOSOS_80e,IDOSOS_80e_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_LOCALIZA
3 CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,462,213,255,0,0,0,0,349,0,562,255,257
12 CRS,ARAGUAIA,SAO FELIX DO XINGU,2630,603,495,1046,7,19,17,330,0,1998,519,355
3 CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,372,179,198,0,0,0,0,292,0,471,198,191
11 CRS,CARAJAS,SAO GERALDO DO ARAGUAIA,946,216,150,235,166,0,0,351,0,802,316,130
3 CRS,METROPOLITANA III,SAO JOAO DA PONTA,119,51,61,0,0,0,0,103,0,154,61,59
4 CRS,RIO CAETES,SAO JOAO DE PIRABAS,361,160,178,0,0,0,0,404,45,564,223,189
11 CRS,CARAJAS,SAO JOAO DO ARAGUAIA,312,161,107,0,0,0,0,185,0,346,107,101
5 CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,890,457,466,0,0,0,0,747,0,1204,466,444
7 CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,576,216,223,0,0,0,0,307,63,523,286,227
12 CRS,ARAGUAIA,SAPUCAIA,184,82,126,0,0,15,7,48,0,145,133,65
10 CRS,XINGU,SENADOR JOSE PORFIRIO,214,115,129,254,0,0,0,61,0,430,129,118
7 CRS,MARAJO I,SOURE,552,194,241,0,0,0,0,373,284,567,525,331
6 CRS,LAGO TUCURUI,TAILANDIA,1098,619,650,0,0,0,0,453,10,1072,660,537
3 CRS,METROPOLITANA III,TERRA ALTA,198,85,108,0,0,0,0,184,0,269,108,123
9 CRS,BAIXO AMAZONAS,TERRA SANTA,536,172,181,0,0,0,0,241,179,413,360,327
2 CRS,METROPOLITANA II,TOME-ACU,1826,559,587,250,200,4,4,675,0,1488,790,511
4 CRS,RIO CAETES,TRACUATEUA,585,342,295,0,0,0,0,414,0,756,295,262
9 CRS,TAPAJOS,TRAIRAO,514,137,153,93,88,0,0,107,57,337,298,211
12 CRS,ARAGUAIA,TUCUMA,1068,584,196,0,0,0,0,301,1,885,197,210
11 CRS,LAGO TUCURUI,TUCURUI,3307,1451,1954,267,147,13,13,869,0,2600,2114,1672
5 CRS,METROPOLITANA III,ULIANOPOLIS,847,498,375,0,0,0,0,281,0,779,375,383
10 CRS,XINGU,URUARA,656,351,369,0,0,0,0,344,5,695,374,254
2 CRS,METROPOLITANA II,VIGIA,849,427,331,0,0,0,0,750,0,1177,331,188
4 CRS,RIO CAETES,VISEU,890,454,462,0,0,0,0,641,10,1095,472,358
10 CRS,XINGU,VITORIA DO XINGU,444,243,269,221,0,0,0,128,0,592,269,439
12 CRS,ARAGUAIA,XINGUARA,1156,621,517,0,0,8,12,418,17,1047,546,504
