CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_75,TRAB_SAUDE_75_VAC_D1,TRAB_SAUDE_75_VAC_D2,INDIGENAS,INDIGENAS_VAC_D1,INDIGENAS_VAC_D2,MAIOR_60,MAIOR_60_VAC_D1,MAIOR_60_VAC_D2,IDOSOS_90e,IDOSOS_90e_VAC_D1,IDOSOS_90e_VAC_D2,META_1a_FASE,TOTAL_VAC_D1,TOTAL_VAC_D2,TOTAL_VAC,TOTAL_VAC_SIPNI,FUN_BUT,FUN_OSW,DoA,DoB
13 CRS,TOCANTINS,OEIRAS DO PARA,469,268,260,83,0,0,0,0,0,0,285,0,0,528,260,83,343,155,112,43,145,10
9 CRS,BAIXO AMAZONAS,ORIXIMINA,4855,765,683,0,1519,1411,0,0,0,0,814,771,0,2911,2865,0,2865,2262,1487,775,2259,3
4 CRS,RIO CAETES,OUREM,265,152,142,50,0,0,0,0,0,0,283,40,0,396,182,50,232,64,64,0,64,0
12 CRS,ARAGUAIA,OURILANDIA DO NORTE,2950,680,665,9,929,63,0,4,4,0,166,0,0,1661,732,9,741,259,243,16,228,31
10 CRS,XINGU,PACAJA,528,369,214,28,0,0,0,0,0,0,377,12,0,619,226,28,254,194,124,70,194,0
11 CRS,CARAJAS,PALESTINA DO PARA,162,92,92,0,0,0,0,0,0,0,112,10,0,185,102,0,102,101,62,39,101,0
5 CRS,METROPOLITANA III,PARAGOMINAS,4077,1611,1450,470,612,494,0,18,18,0,690,48,0,2711,2010,470,2480,1448,902,546,1436,12
11 CRS,CARAJAS,PARAUAPEBAS,6015,2623,2384,0,1057,1,0,17,17,0,808,20,0,4021,2422,0,2422,2019,983,1036,2017,2
12 CRS,ARAGUAIA,PAU D ARCO,554,117,59,2,188,6,0,0,0,0,73,1,0,360,66,2,68,50,40,10,48,2
4 CRS,RIO CAETES,PEIXE-BOI,159,72,72,10,0,0,0,0,0,0,178,0,0,247,72,10,82,0,0,0,0,0
11 CRS,CARAJAS,PICARRA,210,112,116,0,0,0,0,0,0,0,124,0,0,230,116,0,116,108,61,47,108,0
9 CRS,BAIXO AMAZONAS,PLACAS,492,244,197,0,0,0,0,0,0,0,150,140,0,345,337,0,337,199,128,71,197,2
7 CRS,MARAJO I,PONTA DE PEDRAS,568,202,198,65,0,0,0,0,0,0,352,149,0,516,347,65,412,412,322,90,345,67
8 CRS,MARAJO II,PORTEL,820,318,315,110,0,0,0,0,0,0,428,91,0,726,406,110,516,294,166,128,294,0
10 CRS,XINGU,PORTO DE MOZ,456,311,260,18,7,6,0,0,0,0,250,13,0,479,279,18,297,250,135,115,250,0
9 CRS,BAIXO AMAZONAS,PRAINHA,636,211,226,78,0,0,0,0,0,0,287,283,0,502,509,78,587,543,235,308,471,72
4 CRS,RIO CAETES,PRIMAVERA,270,195,147,60,0,0,0,0,0,0,242,0,0,346,147,60,207,143,60,83,143,0
4 CRS,RIO CAETES,QUATIPURU,206,85,101,32,0,0,0,0,0,0,218,0,0,317,101,32,133,98,55,43,98,0
12 CRS,ARAGUAIA,REDENCAO,2782,1493,1507,170,50,28,0,13,38,0,969,0,0,2260,1573,170,1743,1444,905,539,1276,168
12 CRS,ARAGUAIA,RIO MARIA,428,255,153,10,0,0,0,0,0,0,222,0,0,440,153,10,163,151,56,95,143,8
11 CRS,CARAJAS,RONDON DO PARA,723,421,389,0,0,0,0,0,0,0,528,0,0,883,389,0,389,360,198,162,360,0
9 CRS,TAPAJOS,RUROPOLIS,878,356,351,114,0,0,0,0,0,0,337,160,0,658,511,114,625,583,444,139,487,96
4 CRS,RIO CAETES,SALINOPOLIS,633,350,339,0,0,0,0,0,0,0,476,0,0,797,339,0,339,335,188,147,329,6
7 CRS,MARAJO I,SALVATERRA,452,127,135,0,0,0,0,0,0,0,321,29,0,437,164,0,164,157,92,65,157,0
1 CRS,METROPOLITANA I,SANTA BARBARA DO PARA,378,214,235,1,0,0,0,0,0,0,236,6,0,427,241,1,242,292,292,0,223,69
7 CRS,MARAJO I,SANTA CRUZ DO ARARI,236,53,109,0,0,0,0,0,0,0,98,45,0,208,154,0,154,94,62,32,94,0
2 CRS,METROPOLITANA II,SANTA ISABEL DO PARA,1275,755,645,161,0,0,0,0,45,0,794,101,0,1454,791,161,952,833,572,261,707,126
4 CRS,RIO CAETES,SANTA LUZIA DO PARA,1366,136,195,77,453,479,0,0,0,0,315,42,0,950,716,77,793,303,243,60,220,83
12 CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,461,278,128,0,36,0,0,0,0,0,209,0,0,470,128,0,128,114,114,0,114,0
5 CRS,METROPOLITANA III,SANTA MARIA DO PARA,1098,308,211,151,287,159,0,0,0,0,424,0,0,983,370,151,521,362,280,82,362,0
12 CRS,ARAGUAIA,SANTANA DO ARAGUAIA,708,338,490,0,27,30,0,13,13,0,349,0,0,724,533,0,533,156,118,38,156,0
9 CRS,BAIXO AMAZONAS,SANTAREM,20206,6646,3404,930,3756,1810,0,30,30,0,4070,2344,0,12418,7588,930,8518,3687,2416,1271,3686,1
4 CRS,RIO CAETES,SANTAREM NOVO,136,74,68,20,0,0,0,0,0,0,98,9,0,162,77,20,97,65,36,29,65,0
2 CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,428,245,203,0,0,0,0,0,0,0,363,0,0,572,203,0,203,182,101,81,181,1
2 CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,264,114,133,0,0,0,0,0,0,0,294,0,0,421,133,0,133,127,72,55,127,0
11 CRS,CARAJAS,SAO DOMINGOS DO ARAGUAIA,499,232,222,0,26,0,0,0,0,0,461,0,0,680,222,0,222,211,106,105,211,0
3 CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,462,288,273,0,0,0,0,0,0,0,349,0,0,562,273,0,273,271,150,121,271,0
12 CRS,ARAGUAIA,SAO FELIX DO XINGU,2630,706,495,10,1046,7,0,19,17,2,330,0,0,1998,519,12,531,410,277,133,410,0
3 CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,372,204,198,0,0,0,0,0,0,0,292,0,0,471,198,0,198,190,101,89,190,0
11 CRS,CARAJAS,SAO GERALDO DO ARAGUAIA,946,319,150,0,235,166,0,0,0,0,351,0,0,802,316,0,316,129,111,18,129,0
3 CRS,METROPOLITANA III,SAO JOAO DA PONTA,119,67,61,0,0,0,0,0,0,0,103,0,0,154,61,0,61,59,29,30,59,0
4 CRS,RIO CAETES,SAO JOAO DE PIRABAS,361,193,182,40,0,0,0,0,0,0,404,75,0,564,257,40,297,190,110,80,188,2
11 CRS,CARAJAS,SAO JOAO DO ARAGUAIA,312,180,107,0,0,0,0,0,0,0,185,0,0,346,107,0,107,100,90,10,100,0
5 CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,890,437,478,137,0,0,0,0,0,0,747,0,0,1204,478,137,615,444,263,181,444,0
7 CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,576,183,223,0,0,0,0,0,0,0,307,63,0,523,286,0,286,264,183,81,264,0
12 CRS,ARAGUAIA,SAPUCAIA,184,88,126,0,0,0,0,15,7,0,48,0,0,145,133,0,133,65,43,22,65,0
10 CRS,XINGU,SENADOR JOSE PORFIRIO,214,150,129,21,254,144,0,0,0,0,61,6,0,430,279,21,300,276,224,52,276,0
7 CRS,MARAJO I,SOURE,552,84,241,90,0,0,0,0,0,0,373,284,0,567,525,90,615,521,485,36,424,97
6 CRS,LAGO TUCURUI,TAILANDIA,1098,616,650,0,0,0,0,0,0,0,453,11,0,1072,661,0,661,562,394,168,561,1
3 CRS,METROPOLITANA III,TERRA ALTA,198,102,123,0,0,0,0,0,0,0,184,0,0,269,123,0,123,123,74,49,98,25
9 CRS,BAIXO AMAZONAS,TERRA SANTA,536,237,181,40,0,0,0,0,0,0,241,180,0,413,361,40,401,336,98,238,336,0
2 CRS,METROPOLITANA II,TOME-ACU,1826,595,587,140,250,200,0,4,4,4,675,10,0,1488,800,144,944,769,645,124,622,147
4 CRS,RIO CAETES,TRACUATEUA,585,241,295,50,0,0,0,0,0,0,414,0,0,756,295,50,345,331,244,87,283,48
9 CRS,TAPAJOS,TRAIRAO,514,152,153,26,93,88,49,0,0,0,107,65,0,337,306,75,381,281,217,64,250,31
12 CRS,ARAGUAIA,TUCUMA,1068,703,196,0,0,0,0,0,0,0,301,1,0,885,197,0,197,244,244,0,216,28
11 CRS,LAGO TUCURUI,TUCURUI,3307,1867,1976,0,267,147,0,13,13,0,869,57,0,2600,2193,0,2193,1718,1151,567,1714,4
5 CRS,METROPOLITANA III,ULIANOPOLIS,847,543,406,0,0,0,0,0,0,0,281,7,0,779,413,0,413,385,285,100,385,0
10 CRS,XINGU,URUARA,656,385,369,0,0,0,0,0,0,0,344,14,0,695,383,0,383,254,213,41,254,0
2 CRS,METROPOLITANA II,VIGIA,849,430,331,0,0,0,0,0,0,0,750,0,0,1177,331,0,331,231,115,116,231,0
4 CRS,RIO CAETES,VISEU,890,479,462,35,0,0,0,0,0,0,641,25,0,1095,487,35,522,406,246,160,406,0
10 CRS,XINGU,VITORIA DO XINGU,444,293,269,0,221,198,0,0,0,0,128,14,0,592,481,0,481,456,344,112,456,0
12 CRS,ARAGUAIA,XINGUARA,1156,713,517,0,0,0,0,8,12,12,418,17,0,1047,546,12,558,623,445,178,505,118
