CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_75,TRAB_SAUDE_75_VAC_D1,TRAB_SAUDE_75_VAC_D2,INDIGENAS,INDIGENAS_VAC_D1,INDIGENAS_VAC_D2,MAIOR_60,MAIOR_60_VAC_D1,MAIOR_60_VAC_D2,IDOSOS_80e,IDOSOS_80e_VAC_D1,IDOSOS_80e_VAC_D2,META_1a_FASE,TOTAL_VAC_D1,TOTAL_VAC_D2,TOTAL_VAC,TOTAL_VAC_SIPNI,FUN_BUT,FUN_OSW,DoA,DoB
13 CRS,TOCANTINS,OEIRAS DO PARA,469,268,260,83,0,0,0,0,0,0,285,0,0,528,260,83,343,145,102,43,145,0
9 CRS,BAIXO AMAZONAS,ORIXIMINA,4465,765,683,0,1519,1411,0,0,0,0,814,758,0,2911,2852,0,2852,2226,1454,772,2224,2
4 CRS,RIO CAETES,OUREM,265,152,142,0,0,0,0,0,0,0,283,30,0,396,172,0,172,65,65,0,65,0
12 CRS,ARAGUAIA,OURILANDIA DO NORTE,2950,680,665,9,929,63,0,4,4,0,166,0,0,1661,732,9,741,251,235,16,227,24
10 CRS,XINGU,PACAJA,528,369,204,11,0,0,0,0,0,0,377,0,0,619,204,11,215,189,124,65,189,0
11 CRS,CARAJAS,PALESTINA DO PARA,162,92,92,0,0,0,0,0,0,0,112,0,0,185,92,0,92,100,61,39,100,0
5 CRS,METROPOLITANA III,PARAGOMINAS,4077,1611,1450,0,612,494,0,18,18,0,690,33,0,2711,1995,0,1995,1375,829,546,1374,1
11 CRS,CARAJAS,PARAUAPEBAS,5998,2623,2384,0,1057,1,0,17,17,0,808,0,0,4021,2402,0,2402,1912,913,999,1910,2
12 CRS,ARAGUAIA,PAU D ARCO,554,117,59,2,188,6,0,0,0,0,73,1,0,360,66,2,68,50,40,10,48,2
4 CRS,RIO CAETES,PEIXE-BOI,159,72,72,0,0,0,0,0,0,0,178,0,0,247,72,0,72,0,0,0,0,0
11 CRS,CARAJAS,PICARRA,210,112,116,0,0,0,0,0,0,0,124,0,0,230,116,0,116,108,61,47,108,0
9 CRS,BAIXO AMAZONAS,PLACAS,492,244,197,0,0,0,0,0,0,0,150,140,0,345,337,0,337,168,126,42,166,2
7 CRS,MARAJO I,PONTA DE PEDRAS,568,202,198,0,0,0,0,0,0,0,352,34,0,516,232,0,232,332,242,90,279,53
8 CRS,MARAJO II,PORTEL,820,318,315,0,0,0,0,0,0,0,428,0,0,726,315,0,315,294,166,128,294,0
10 CRS,XINGU,PORTO DE MOZ,456,311,260,18,7,0,0,0,0,0,250,0,0,479,260,18,278,229,121,108,229,0
9 CRS,BAIXO AMAZONAS,PRAINHA,636,211,226,0,0,0,0,0,0,0,287,283,0,502,509,0,509,491,185,306,460,31
4 CRS,RIO CAETES,PRIMAVERA,270,195,147,37,0,0,0,0,0,0,242,0,0,346,147,37,184,143,60,83,143,0
4 CRS,RIO CAETES,QUATIPURU,206,85,101,32,0,0,0,0,0,0,218,0,0,317,101,32,133,98,55,43,98,0
12 CRS,ARAGUAIA,REDENCAO,2782,1493,1507,170,50,28,0,13,38,0,969,0,0,2260,1573,170,1743,1193,655,538,1192,1
12 CRS,ARAGUAIA,RIO MARIA,428,255,153,10,0,0,0,0,0,0,222,0,0,440,153,10,163,151,56,95,143,8
11 CRS,CARAJAS,RONDON DO PARA,723,421,389,0,0,0,0,0,0,0,528,0,0,883,389,0,389,355,198,157,355,0
9 CRS,TAPAJOS,RUROPOLIS,878,356,351,103,0,0,0,0,0,0,337,150,0,658,501,103,604,573,434,139,484,89
4 CRS,RIO CAETES,SALINOPOLIS,633,350,339,0,0,0,0,0,0,0,476,0,0,797,339,0,339,324,177,147,323,1
7 CRS,MARAJO I,SALVATERRA,452,127,135,0,0,0,0,0,0,0,321,2,0,437,138,0,138,130,65,65,130,0
1 CRS,METROPOLITANA I,SANTA BARBARA DO PARA,378,214,235,1,0,0,0,0,0,0,236,6,0,427,241,1,242,224,224,0,204,20
7 CRS,MARAJO I,SANTA CRUZ DO ARARI,236,53,99,0,0,0,0,0,0,0,98,0,0,208,99,0,99,94,62,32,94,0
2 CRS,METROPOLITANA II,SANTA ISABEL DO PARA,1275,755,645,0,0,0,0,0,45,0,794,0,0,1454,690,0,690,622,379,243,619,3
4 CRS,RIO CAETES,SANTA LUZIA DO PARA,1366,136,185,44,453,479,0,0,0,0,315,42,0,950,706,44,750,163,103,60,163,0
12 CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,461,278,101,0,36,0,0,0,0,0,209,0,0,470,101,0,101,114,114,0,114,0
5 CRS,METROPOLITANA III,SANTA MARIA DO PARA,1098,308,211,0,287,159,0,0,0,0,424,0,0,983,370,0,370,349,267,82,349,0
12 CRS,ARAGUAIA,SANTANA DO ARAGUAIA,708,338,490,0,27,30,0,13,13,0,349,0,0,724,533,0,533,156,118,38,156,0
9 CRS,BAIXO AMAZONAS,SANTAREM,20206,6646,3404,557,3756,1810,0,30,30,0,4070,2344,0,12418,7588,557,8145,3520,2319,1201,3520,0
4 CRS,RIO CAETES,SANTAREM NOVO,136,74,68,10,0,0,0,0,0,0,98,9,0,162,77,10,87,65,36,29,65,0
2 CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,428,245,203,0,0,0,0,0,0,0,363,0,0,572,203,0,203,183,102,81,182,1
2 CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,264,114,133,0,0,0,0,0,0,0,294,0,0,421,133,0,133,127,72,55,127,0
11 CRS,CARAJAS,SAO DOMINGOS DO ARAGUAIA,499,232,222,0,26,0,0,0,0,0,461,0,0,680,222,0,222,211,106,105,211,0
3 CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,462,288,255,0,0,0,0,0,0,0,349,0,0,562,255,0,255,257,136,121,257,0
12 CRS,ARAGUAIA,SAO FELIX DO XINGU,2630,706,495,10,1046,7,0,19,17,2,330,0,0,1998,519,12,531,365,276,89,365,0
3 CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,372,204,198,0,0,0,0,0,0,0,292,0,0,471,198,0,198,192,101,91,192,0
11 CRS,CARAJAS,SAO GERALDO DO ARAGUAIA,946,319,150,0,235,166,0,0,0,0,351,0,0,802,316,0,316,129,111,18,129,0
3 CRS,METROPOLITANA III,SAO JOAO DA PONTA,119,67,61,0,0,0,0,0,0,0,103,0,0,154,61,0,61,59,29,30,59,0
4 CRS,RIO CAETES,SAO JOAO DE PIRABAS,361,193,178,7,0,0,0,0,0,0,404,45,0,564,223,7,230,189,109,80,188,1
11 CRS,CARAJAS,SAO JOAO DO ARAGUAIA,312,180,107,0,0,0,0,0,0,0,185,0,0,346,107,0,107,101,91,10,101,0
5 CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,890,437,466,137,0,0,0,0,0,0,747,0,0,1204,466,137,603,443,263,180,443,0
7 CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,576,183,223,0,0,0,0,0,0,0,307,63,0,523,286,0,286,254,179,75,254,0
12 CRS,ARAGUAIA,SAPUCAIA,184,88,126,0,0,0,0,15,7,0,48,0,0,145,133,0,133,65,43,22,65,0
10 CRS,XINGU,SENADOR JOSE PORFIRIO,214,150,129,0,254,0,0,0,0,0,61,0,0,430,129,0,129,118,67,51,118,0
7 CRS,MARAJO I,SOURE,552,84,241,90,0,0,0,0,0,0,373,284,0,567,525,90,615,332,296,36,279,53
6 CRS,LAGO TUCURUI,TAILANDIA,1098,616,650,0,0,0,0,0,0,0,453,10,0,1072,660,0,660,535,392,143,534,1
3 CRS,METROPOLITANA III,TERRA ALTA,198,102,108,0,0,0,0,0,0,0,184,0,0,269,108,0,108,122,74,48,97,25
9 CRS,BAIXO AMAZONAS,TERRA SANTA,536,237,181,0,0,0,0,0,0,0,241,179,0,413,360,0,360,327,98,229,327,0
2 CRS,METROPOLITANA II,TOME-ACU,1826,595,587,0,250,200,0,4,4,0,675,0,0,1488,790,0,790,511,461,50,511,0
4 CRS,RIO CAETES,TRACUATEUA,585,241,295,30,0,0,0,0,0,0,414,0,0,756,295,30,325,262,196,66,262,0
9 CRS,TAPAJOS,TRAIRAO,514,152,153,16,93,88,49,0,0,0,107,57,0,337,298,65,363,215,157,58,200,15
12 CRS,ARAGUAIA,TUCUMA,1068,703,196,0,0,0,0,0,0,0,301,1,0,885,197,0,197,210,210,0,198,12
11 CRS,LAGO TUCURUI,TUCURUI,3307,1867,1954,0,267,147,0,13,13,0,869,0,0,2600,2114,0,2114,1673,1106,567,1669,4
5 CRS,METROPOLITANA III,ULIANOPOLIS,847,543,375,0,0,0,0,0,0,0,281,0,0,779,375,0,375,385,285,100,385,0
10 CRS,XINGU,URUARA,656,385,369,0,0,0,0,0,0,0,344,5,0,695,374,0,374,254,213,41,254,0
2 CRS,METROPOLITANA II,VIGIA,849,430,331,0,0,0,0,0,0,0,750,0,0,1177,331,0,331,215,111,104,215,0
4 CRS,RIO CAETES,VISEU,890,479,462,20,0,0,0,0,0,0,641,10,0,1095,472,20,492,371,245,126,371,0
10 CRS,XINGU,VITORIA DO XINGU,444,293,269,0,221,0,0,0,0,0,128,0,0,592,269,0,269,439,327,112,439,0
12 CRS,ARAGUAIA,XINGUARA,1156,713,517,0,0,0,0,8,12,12,418,17,0,1047,546,12,558,504,326,178,504,0
