CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_75,TRAB_SAUDE_75_VAC_D1,TRAB_SAUDE_75_VAC_D2,TRAB_SAUDE_75_TOTAL_VAC,INDIGENAS,INDIGENAS_VAC_D1,INDIGENAS_VAC_D2,INDIGENAS_TOTAL_VAC,MAIOR_60,MAIOR_60_VAC_D1,MAIOR_60_VAC_D2,MAIOR_60_TOTAL_VAC,IDOSOS_90e,IDOSOS_90e_VAC_D1,IDOSOS_90e_VAC_D2,IDOSOS_90e_TOTAL,META_1a_FASE,TOTAL_VAC_D1,TOTAL_VAC_D2,TOTAL_VAC,TOTAL_VAC_SIPNI,FUNDACAO BUTANTAN,FUNDACAO OSWALDO CRUZ,DoA,DoB
10 CRS,XINGU,ANAPU,416,255,154,13,167,386,193,0,193,0,0,0,0,162,1,0,1,771,348,13,361,349,328,21,342,7
4 CRS,RIO CAETES,AUGUSTO CORREA,603,338,324,,324,0,0,0,0,0,0,0,0,463,48,0,48,766,372,0,372,402,261,141,366,36
5 CRS,METROPOLITANA III,AURORA DO PARA,390,195,201,0,201,28,0,0,0,0,0,0,0,279,0,0,0,508,201,0,201,191,115,76,191,0
9 CRS,TAPAJOS,AVEIRO,1030,124,116,30,146,490,194,0,194,0,0,0,0,220,100,0,100,815,410,30,440,339,290,49,315,24
8 CRS,MARAJO II,BAGRE,428,207,204,96,300,0,0,0,0,0,0,0,0,153,50,0,50,335,254,96,350,327,236,91,245,82
13 CRS,TOCANTINS,BAIAO,758,327,243,90,333,39,0,0,0,0,0,0,0,398,0,0,0,722,243,90,333,274,206,68,240,34
12 CRS,ARAGUAIA,BANNACH,302,74,65,0,65,90,0,0,0,0,0,0,0,46,0,0,0,200,65,0,65,80,61,19,73,7
6 CRS,TOCANTINS,BARCARENA,2852,1866,1608,206,1814,0,0,0,0,0,1,0,1,952,261,0,261,2512,1870,206,2076,1918,1180,738,1768,150
1 CRS,METROPOLITANA I,BELEM,67670,48613,17496,0,17496,0,0,0,0,172,264,0,264,26178,11871,0,11871,60629,29631,0,29631,17067,17067,0,17065,2
9 CRS,BAIXO AMAZONAS,BELTERRA,1196,128,137,10,147,307,0,0,0,0,0,0,0,312,280,0,280,772,417,10,427,214,184,30,210,4
1 CRS,METROPOLITANA I,BENEVIDES,943,600,523,95,618,0,0,0,0,0,0,0,0,623,53,0,53,1099,576,95,671,670,670,0,548,122
11 CRS,CARAJAS,BOM JESUS DO TOCANTINS,1356,193,183,,183,507,326,0,326,0,0,0,0,199,0,0,0,871,508,0,508,225,144,81,224,1
4 CRS,RIO CAETES,BONITO,204,135,123,18,141,0,0,0,0,0,0,0,0,149,0,0,0,244,123,18,141,136,70,66,119,17
4 CRS,RIO CAETES,BRAGANCA,2569,1581,1493,655,2148,0,0,0,0,0,0,0,0,1579,172,0,172,2889,1665,655,2320,2191,1546,645,1606,585
10 CRS,XINGU,BRASIL NOVO,328,177,119,0,119,0,0,0,0,0,0,0,0,226,5,0,5,384,124,0,124,114,60,54,114,0
11 CRS,CARAJAS,BREJO GRANDE DO ARAGUAIA,150,90,95,,95,0,0,0,0,0,0,0,0,110,5,0,5,181,100,0,100,83,42,41,83,0
11 CRS,LAGO TUCURUI,BREU BRANCO,633,414,322,,322,0,0,0,0,5,5,0,5,549,10,0,10,838,337,0,337,325,162,163,325,0
8 CRS,MARAJO II,BREVES,2234,1136,1005,340,1345,0,0,0,0,0,0,0,0,1039,427,0,427,1831,1432,340,1772,1757,1307,450,1444,313
2 CRS,METROPOLITANA II,BUJARU,299,168,164,,164,0,0,0,0,0,0,0,0,323,0,0,0,456,164,0,164,177,96,81,177,0
7 CRS,MARAJO I,CACHOEIRA DO ARARI,482,193,146,40,186,0,0,0,0,0,0,0,0,133,81,0,81,230,227,40,267,244,164,80,214,30
4 CRS,RIO CAETES,CACHOEIRA DO PIRIA,329,158,155,,155,0,0,0,0,0,0,0,0,355,7,0,7,545,162,0,162,150,106,44,150,0
13 CRS,TOCANTINS,CAMETA,2143,1261,1220,425,1645,0,0,0,0,0,0,0,0,1696,0,0,0,2751,1220,425,1645,775,544,231,775,0
11 CRS,CARAJAS,CANAA DOS CARAJAS,1103,706,655,0,655,16,0,0,0,0,0,0,0,154,6,0,6,741,661,0,661,636,347,289,636,0
4 CRS,RIO CAETES,CAPANEMA,2684,1626,1295,41,1336,0,0,0,0,19,19,15,34,1161,43,0,43,2607,1357,56,1413,1475,1131,344,1308,167
5 CRS,METROPOLITANA III,CAPITAO POCO,1016,692,551,164,715,0,0,0,0,0,0,0,0,718,53,0,53,1234,604,164,768,1274,1017,257,1063,211
3 CRS,METROPOLITANA III,CASTANHAL,4606,2683,3105,0,3105,0,0,0,0,38,0,0,0,2282,165,0,165,4784,3270,0,3270,3103,2182,921,2471,632
7 CRS,MARAJO I,CHAVES,432,192,149,0,149,0,0,0,0,0,0,0,0,223,27,0,27,365,176,0,176,159,86,73,159,0
2 CRS,METROPOLITANA II,COLARES,245,129,119,0,119,0,0,0,0,0,0,0,0,246,0,0,0,357,119,0,119,118,67,51,118,0
12 CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,1846,1017,908,7,915,0,0,0,0,10,0,0,0,836,240,0,240,1700,1148,7,1155,1207,799,408,1063,144
2 CRS,METROPOLITANA II,CONCORDIA DO PARA,429,249,236,96,332,0,0,0,0,0,0,0,0,345,70,0,70,556,306,96,402,349,255,94,258,91
12 CRS,ARAGUAIA,CUMARU DO NORTE,1772,111,141,2,143,816,10,0,10,0,0,0,0,35,0,0,0,975,151,2,153,66,57,9,66,0
11 CRS,CARAJAS,CURIONOPOLIS,361,188,164,0,164,0,0,0,0,0,5,0,5,323,2,0,2,482,171,0,171,149,73,76,149,0
8 CRS,MARAJO II,CURRALINHO,512,205,195,84,279,0,0,0,0,0,0,0,0,281,96,0,96,448,291,84,375,361,273,88,278,83
9 CRS,BAIXO AMAZONAS,CURUA,266,113,95,25,120,0,0,0,0,0,0,0,0,125,105,0,105,210,200,25,225,164,44,120,164,0
3 CRS,METROPOLITANA III,CURUCA,696,381,560,0,560,0,0,0,0,0,0,0,0,753,51,0,51,1062,611,0,611,560,400,160,396,164
5 CRS,CARAJAS,DOM ELISEU,842,404,350,35,385,0,0,0,0,0,0,0,0,415,13,0,13,929,363,35,398,347,201,146,316,31
11 CRS,CARAJAS,ELDORADO DOS CARAJAS,383,216,225,0,225,0,0,0,0,0,0,0,0,283,8,0,8,470,233,0,233,205,120,85,202,3
9 CRS,BAIXO AMAZONAS,FARO,334,165,163,71,234,0,0,0,0,0,0,0,0,96,92,0,92,248,255,71,326,291,163,128,231,60
12 CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,434,257,135,14,149,0,0,0,0,0,0,0,0,199,0,0,0,429,135,14,149,149,98,51,144,5
5 CRS,METROPOLITANA III,GARRAFAO DO NORTE,738,246,280,38,318,0,0,0,0,0,0,0,0,296,9,0,9,802,289,38,327,302,247,55,285,17
11 CRS,LAGO TUCURUI,GOIANESIA DO PARA,608,296,273,0,273,42,39,0,39,0,0,0,0,276,0,0,0,598,312,0,312,166,166,0,166,0
8 CRS,MARAJO II,GURUPA,312,295,328,118,446,0,0,0,0,0,0,0,0,284,99,0,99,620,427,118,545,370,249,121,313,57
3 CRS,METROPOLITANA III,IGARAPE-ACU,701,390,374,0,374,0,0,0,0,0,0,0,0,614,5,0,5,948,379,0,379,374,189,185,374,0
6 CRS,TOCANTINS,IGARAPE-MIRI,942,524,503,26,529,0,0,0,0,0,0,0,0,814,112,0,112,1280,615,26,641,623,409,214,591,32
3 CRS,METROPOLITANA III,INHANGAPI,191,122,141,0,141,0,0,0,0,0,0,0,0,152,0,0,0,241,141,0,141,141,91,50,108,33
5 CRS,METROPOLITANA III,IPIXUNA DO PARA,774,571,415,84,499,0,0,0,0,0,0,0,0,252,14,0,14,639,429,84,513,464,253,211,412,52
5 CRS,METROPOLITANA III,IRITUIA,524,201,261,0,261,0,0,0,0,0,0,0,0,534,0,0,0,806,261,0,261,317,239,78,256,61
9 CRS,TAPAJOS,ITAITUBA,4199,1406,1206,44,1250,672,219,0,219,29,26,0,26,1032,574,0,574,2955,2026,44,2070,1637,1446,191,1627,10
11 CRS,CARAJAS,ITUPIRANGA,1471,426,340,76,416,283,0,0,0,13,12,0,12,470,41,0,41,1077,393,76,469,436,283,153,371,65
9 CRS,TAPAJOS,JACAREACANGA,9742,219,84,0,84,4964,1150,79,1229,0,0,0,0,34,23,0,23,5185,1257,79,1336,438,438,0,437,1
11 CRS,LAGO TUCURUI,JACUNDA,736,417,336,0,336,42,0,0,0,0,0,0,0,556,0,0,0,886,336,0,336,295,160,135,295,0
9 CRS,BAIXO AMAZONAS,JURUTI,1392,598,582,194,776,0,0,0,0,0,0,0,0,496,492,0,492,1032,1074,194,1268,397,167,230,397,0
13 CRS,TOCANTINS,LIMOEIRO DO AJURU,437,287,238,51,289,0,0,0,0,0,0,0,0,286,0,0,0,490,238,51,289,244,140,104,232,12
5 CRS,METROPOLITANA III,MAE DO RIO,580,419,330,101,431,0,0,0,0,0,0,0,0,418,3,0,3,675,333,101,434,431,280,151,327,104
3 CRS,METROPOLITANA III,MAGALHAES BARATA,150,76,84,0,84,0,0,0,0,0,0,0,0,160,0,0,0,229,84,0,84,84,55,29,67,17
11 CRS,CARAJAS,MARABA,5492,3758,3074,64,3138,0,0,0,0,25,43,0,43,2173,224,0,224,4971,3341,64,3405,609,12,597,609,0
3 CRS,METROPOLITANA III,MARACANA,485,249,229,0,229,0,0,0,0,0,0,0,0,548,0,0,0,766,229,0,229,207,124,83,207,0
3 CRS,METROPOLITANA III,MARAPANIM,750,431,473,0,473,0,0,0,0,0,0,0,0,590,48,0,48,958,521,0,521,472,278,194,468,4
1 CRS,METROPOLITANA I,MARITUBA,2251,1060,1160,479,1639,0,0,0,0,43,43,38,81,929,60,0,60,2262,1263,517,1780,1753,1753,0,1266,487
10 CRS,XINGU,MEDICILANDIA,379,229,233,85,318,0,0,0,0,7,7,0,7,254,1,0,1,432,241,85,326,281,171,110,225,56
8 CRS,MARAJO II,MELGACO,522,288,221,36,257,0,0,0,0,0,0,0,0,129,65,0,65,375,286,36,322,320,241,79,285,35
13 CRS,TOCANTINS,MOCAJUBA,482,288,217,29,246,0,0,0,0,0,0,0,0,463,0,0,0,677,217,29,246,206,126,80,204,2
6 CRS,TOCANTINS,MOJU,858,394,322,0,322,87,69,0,69,0,0,0,0,668,38,0,38,1062,430,0,430,260,228,32,260,0
9 CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,464,115,133,0,133,0,0,0,0,0,0,0,0,261,204,0,204,387,337,0,337,0,0,0,0,0
9 CRS,BAIXO AMAZONAS,MONTE ALEGRE,1596,426,383,184,567,0,0,0,0,0,0,0,0,951,818,0,818,1333,1201,184,1385,1104,361,743,1087,17
7 CRS,MARAJO I,MUANA,588,220,210,0,210,0,0,0,0,0,0,0,0,360,280,0,280,542,490,0,490,237,141,96,237,0
5 CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,254,148,146,57,203,0,0,0,0,0,0,0,0,129,0,0,0,267,146,57,203,188,128,60,140,48
11 CRS,CARAJAS,NOVA IPIXUNA,250,144,135,1,136,0,0,0,0,0,0,0,0,165,16,0,16,287,151,1,152,138,86,52,137,1
4 CRS,RIO CAETES,NOVA TIMBOTEUA,304,180,162,40,202,0,0,0,0,0,0,0,0,301,0,0,0,431,162,40,202,40,40,0,40,0
9 CRS,TAPAJOS,NOVO PROGRESSO,1842,270,370,47,417,0,0,0,0,0,0,0,0,96,28,0,28,305,398,47,445,353,240,113,301,52
11 CRS,LAGO TUCURUI,NOVO REPARTIMENTO,2314,690,489,0,489,443,0,0,0,0,0,0,0,536,0,0,0,1587,489,0,489,463,320,143,463,0
9 CRS,BAIXO AMAZONAS,OBIDOS,2999,381,412,117,529,1259,404,0,404,0,0,0,0,734,567,0,567,2414,1383,117,1500,1317,688,629,1317,0
13 CRS,TOCANTINS,OEIRAS DO PARA,469,268,260,83,343,0,0,0,0,0,0,0,0,285,0,0,0,528,260,83,343,155,112,43,145,10
9 CRS,BAIXO AMAZONAS,ORIXIMINA,4855,765,683,0,683,1519,1411,0,1411,0,0,0,0,814,796,0,796,2911,2890,0,2890,2446,1587,859,2383,63
4 CRS,RIO CAETES,OUREM,265,152,142,50,192,0,0,0,0,0,0,0,0,283,40,0,40,396,182,50,232,65,65,0,65,0
12 CRS,ARAGUAIA,OURILANDIA DO NORTE,2950,680,665,9,674,929,63,0,63,4,4,0,4,166,0,0,0,1661,732,9,741,259,243,16,228,31
10 CRS,XINGU,PACAJA,528,369,214,28,242,0,0,0,0,0,0,0,0,377,12,0,12,619,226,28,254,250,161,89,216,34
11 CRS,CARAJAS,PALESTINA DO PARA,162,92,92,0,92,0,0,0,0,0,0,0,0,112,10,0,10,185,102,0,102,100,62,38,100,0
5 CRS,METROPOLITANA III,PARAGOMINAS,4077,1611,1450,470,1920,612,494,0,494,18,18,0,18,690,48,0,48,2711,2010,470,2480,1447,901,546,1435,12
11 CRS,CARAJAS,PARAUAPEBAS,6015,2623,2384,0,2384,1057,1,0,1,17,17,0,17,808,20,0,20,4021,2422,0,2422,2017,983,1034,2015,2
12 CRS,ARAGUAIA,PAU D ARCO,554,117,59,2,61,188,6,0,6,0,0,0,0,73,1,0,1,360,66,2,68,50,40,10,48,2
4 CRS,RIO CAETES,PEIXE-BOI,159,72,72,10,82,0,0,0,0,0,0,0,0,178,0,0,0,247,72,10,82,55,32,23,47,8
11 CRS,CARAJAS,PICARRA,210,112,116,0,116,0,0,0,0,0,0,0,0,124,0,0,0,230,116,0,116,108,61,47,108,0
9 CRS,BAIXO AMAZONAS,PLACAS,492,244,197,33,230,0,0,0,0,0,0,0,0,150,140,0,140,345,337,33,370,219,148,71,217,2
7 CRS,MARAJO I,PONTA DE PEDRAS,568,202,198,65,263,0,0,0,0,0,0,0,0,352,149,0,149,516,347,65,412,429,339,90,352,77
8 CRS,MARAJO II,PORTEL,820,318,315,110,425,0,0,0,0,0,0,0,0,428,91,0,91,726,406,110,516,442,314,128,398,44
10 CRS,XINGU,PORTO DE MOZ,456,311,260,18,278,7,6,0,6,0,0,0,0,250,13,0,13,479,279,18,297,255,138,117,255,0
9 CRS,BAIXO AMAZONAS,PRAINHA,636,211,226,78,304,0,0,0,0,0,0,0,0,287,286,0,286,502,512,78,590,557,251,306,471,86
4 CRS,RIO CAETES,PRIMAVERA,270,195,147,60,207,0,0,0,0,0,0,0,0,242,0,0,0,346,147,60,207,143,60,83,143,0
4 CRS,RIO CAETES,QUATIPURU,206,85,101,32,133,0,0,0,0,0,0,0,0,218,0,0,0,317,101,32,133,98,55,43,98,0
12 CRS,ARAGUAIA,REDENCAO,2782,1493,1507,170,1677,50,28,0,28,13,38,0,38,969,0,0,0,2260,1573,170,1743,1486,947,539,1310,176
12 CRS,ARAGUAIA,RIO MARIA,428,255,153,10,163,0,0,0,0,0,0,0,0,222,0,0,0,440,153,10,163,150,56,94,142,8
11 CRS,CARAJAS,RONDON DO PARA,723,421,389,0,389,0,0,0,0,0,0,0,0,528,0,0,0,883,389,0,389,358,196,162,358,0
9 CRS,TAPAJOS,RUROPOLIS,878,356,351,114,465,0,0,0,0,0,0,0,0,337,190,0,190,658,541,114,655,605,467,138,496,109
4 CRS,RIO CAETES,SALINOPOLIS,633,350,339,0,339,0,0,0,0,0,0,0,0,476,0,0,0,797,339,0,339,336,188,148,330,6
7 CRS,MARAJO I,SALVATERRA,452,127,135,0,135,0,0,0,0,0,0,0,0,321,29,0,29,437,164,0,164,201,136,65,200,1
1 CRS,METROPOLITANA I,SANTA BARBARA DO PARA,378,214,235,1,236,0,0,0,0,0,0,0,0,236,6,0,6,427,241,1,242,291,291,0,222,69
7 CRS,MARAJO I,SANTA CRUZ DO ARARI,236,53,109,0,109,0,0,0,0,0,0,0,0,98,45,0,45,208,154,0,154,94,62,32,94,0
2 CRS,METROPOLITANA II,SANTA ISABEL DO PARA,1275,755,645,189,834,0,0,0,0,0,45,0,45,794,109,0,109,1454,799,189,988,932,654,278,743,189
4 CRS,RIO CAETES,SANTA LUZIA DO PARA,1366,136,195,77,272,453,479,0,479,0,0,0,0,315,42,0,42,950,716,77,793,310,250,60,226,84
12 CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,461,278,128,0,128,36,0,0,0,0,0,0,0,209,0,0,0,470,128,0,128,146,146,0,115,31
5 CRS,METROPOLITANA III,SANTA MARIA DO PARA,1098,308,211,151,362,287,159,0,159,0,0,0,0,424,0,0,0,983,370,151,521,361,280,81,361,0
12 CRS,ARAGUAIA,SANTANA DO ARAGUAIA,708,338,490,0,490,27,30,0,30,13,13,0,13,349,0,0,0,724,533,0,533,156,118,38,156,0
9 CRS,BAIXO AMAZONAS,SANTAREM,20206,6646,3404,996,4400,3756,1810,0,1810,30,30,0,30,4070,2344,0,2344,12418,7588,996,8584,4186,2669,1517,4029,157
4 CRS,RIO CAETES,SANTAREM NOVO,136,74,68,20,88,0,0,0,0,0,0,0,0,98,9,0,9,162,77,20,97,65,36,29,65,0
2 CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,428,245,203,0,203,0,0,0,0,0,0,0,0,363,0,0,0,572,203,0,203,183,102,81,182,1
2 CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,264,114,133,0,133,0,0,0,0,0,0,0,0,294,0,0,0,421,133,0,133,127,72,55,127,0
11 CRS,CARAJAS,SAO DOMINGOS DO ARAGUAIA,499,232,222,0,222,26,0,0,0,0,0,0,0,461,0,0,0,680,222,0,222,210,105,105,210,0
3 CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,462,288,273,0,273,0,0,0,0,0,0,0,0,349,26,0,26,562,299,0,299,283,162,121,273,10
12 CRS,ARAGUAIA,SAO FELIX DO XINGU,2630,706,495,10,505,1046,7,0,7,19,17,2,19,330,0,0,0,1998,519,12,531,411,278,133,411,0
3 CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,372,204,198,0,198,0,0,0,0,0,0,0,0,292,0,0,0,471,198,0,198,192,101,91,192,0
11 CRS,CARAJAS,SAO GERALDO DO ARAGUAIA,946,319,150,0,150,235,166,0,166,0,0,0,0,351,0,0,0,802,316,0,316,130,111,19,130,0
3 CRS,METROPOLITANA III,SAO JOAO DA PONTA,119,67,61,0,61,0,0,0,0,0,0,0,0,103,0,0,0,154,61,0,61,59,29,30,59,0
4 CRS,RIO CAETES,SAO JOAO DE PIRABAS,361,193,182,40,222,0,0,0,0,0,0,0,0,404,75,0,75,564,257,40,297,190,110,80,188,2
11 CRS,CARAJAS,SAO JOAO DO ARAGUAIA,312,180,107,0,107,0,0,0,0,0,0,0,0,185,0,0,0,346,107,0,107,101,91,10,101,0
5 CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,890,437,478,170,648,0,0,0,0,0,0,0,0,747,0,0,0,1204,478,170,648,649,458,191,487,162
7 CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,576,183,223,37,260,0,0,0,0,0,0,0,0,307,140,0,140,523,363,37,400,345,264,81,342,3
12 CRS,ARAGUAIA,SAPUCAIA,184,88,126,0,126,0,0,0,0,15,7,0,7,48,0,0,0,145,133,0,133,65,43,22,65,0
10 CRS,XINGU,SENADOR JOSE PORFIRIO,214,150,129,21,150,254,144,0,144,0,0,0,0,61,6,0,6,430,279,21,300,311,259,52,288,23
7 CRS,MARAJO I,SOURE,552,84,241,95,336,0,0,0,0,0,0,0,0,373,284,0,284,567,525,95,620,522,487,35,425,97
6 CRS,LAGO TUCURUI,TAILANDIA,1098,616,650,0,650,0,0,0,0,0,0,0,0,453,11,0,11,1072,661,0,661,560,392,168,559,1
3 CRS,METROPOLITANA III,TERRA ALTA,198,102,123,0,123,0,0,0,0,0,0,0,0,184,0,0,0,269,123,0,123,123,74,49,98,25
9 CRS,BAIXO AMAZONAS,TERRA SANTA,536,237,181,70,251,0,0,0,0,0,0,0,0,241,180,0,180,413,361,70,431,337,98,239,337,0
2 CRS,METROPOLITANA II,TOME-ACU,1826,595,587,140,727,250,200,0,200,4,4,4,8,675,10,0,10,1488,800,144,944,841,665,176,694,147
4 CRS,RIO CAETES,TRACUATEUA,585,241,295,60,355,0,0,0,0,0,0,0,0,414,0,0,0,756,295,60,355,350,263,87,286,64
9 CRS,TAPAJOS,TRAIRAO,514,152,154,35,189,93,88,49,137,0,0,0,0,107,67,0,67,337,309,84,393,306,242,64,262,44
12 CRS,ARAGUAIA,TUCUMA,1068,703,196,0,196,0,0,0,0,0,0,0,0,301,1,0,1,885,197,0,197,244,244,0,216,28
11 CRS,LAGO TUCURUI,TUCURUI,3307,1867,1976,0,1976,267,147,0,147,13,13,0,13,869,57,0,57,2600,2193,0,2193,1822,1255,567,1782,40
5 CRS,METROPOLITANA III,ULIANOPOLIS,847,543,406,109,515,0,0,0,0,0,0,0,0,281,7,0,7,779,413,109,522,384,284,100,384,0
10 CRS,XINGU,URUARA,656,385,369,0,369,0,0,0,0,0,0,0,0,344,14,0,14,695,383,0,383,253,212,41,253,0
2 CRS,METROPOLITANA II,VIGIA,849,430,331,0,331,0,0,0,0,0,0,0,0,750,0,0,0,1177,331,0,331,249,130,119,249,0
4 CRS,RIO CAETES,VISEU,890,479,462,35,497,0,0,0,0,0,0,0,0,641,25,0,25,1095,487,35,522,498,331,167,449,49
10 CRS,XINGU,VITORIA DO XINGU,444,293,269,0,269,221,198,0,198,0,0,0,0,128,14,0,14,592,481,0,481,455,343,112,455,0
12 CRS,ARAGUAIA,XINGUARA,1156,713,517,0,517,0,0,0,0,8,12,12,24,418,17,0,17,1047,546,12,558,625,447,178,507,118
