CRS,REGIAO_SAU,MUNICIPIO,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
10º CRS,XINGU,PACAJA,286,286,158,0,0,0,0,286,158,119
11º CRS,CARAJÁS,PALESTINA DO PARA,78,78,82,0,0,0,0,78,82,67
5º CRS,METROPOLITANA III,PARAGOMINAS,2216,2216,1727,777,0,18,17,3011,1744,1603
11º CRS,CARAJÁS,PARAUAPEBAS,3329,3329,1430,1057,1,17,17,4403,1448,1252
12º CRS,ARAGUAIA,PAU D'ARCO,104,284,27,180,0,0,0,464,27,65
4º CRS,RIO CAETES,PEIXE-BOI,68,68,49,0,0,0,0,68,30,28
11º CRS,CARAJÁS,PICARRA,105,105,80,0,0,0,0,105,47,41
9º CRS,BAIXO AMAZONAS,PLACAS,359,209,104,0,0,0,0,209,104,106
7º CRS,MARAJO I,PONTA DE PEDRAS,174,174,134,0,0,0,0,174,134,144
8º CRS,MARAJO II,PORTEL,297,297,292,0,0,0,0,297,292,238
10º CRS,XINGU,PORTO DE MOZ,264,264,196,13,0,0,0,277,196,161
9º CRS,BAIXO AMAZONAS,PRAINHA,492,207,342,0,0,0,0,207,200,306
4º CRS,RIO CAETES,PRIMAVERA,138,138,130,0,0,0,0,138,60,105
4º CRS,RIO CAETES,QUATIPURU,90,90,86,0,0,0,0,90,56,75
12º CRS,ARAGUAIA,REDENCAO,1299,1349,450,50,0,13,0,1412,450,547
12º CRS,ARAGUAIA,RIO MARIA,226,226,39,0,0,0,0,226,39,94
11º CRS,CARAJÁS,RONDON DO PARA,371,371,364,0,0,0,0,371,352,310
9º CRS,TAPAJOS,RUROPOLIS,656,326,262,0,0,0,0,326,239,310
4º CRS,RIO CAETES,SALINOPOLIS,323,323,127,0,0,0,0,323,115,176
7º CRS,MARAJO I,SALVATERRA,117,117,116,0,0,0,0,117,116,9
1º CRS,METROPOLITANA I,SANTA BARBARA DO PARA,195,195,193,0,0,0,0,195,193,145
7º CRS,MARAJO I,SANTA CRUZ DO ARARI,84,84,93,0,0,0,0,84,93,40
2º CRS,METROPOLITANA II,SANTA ISABEL DO PARA,679,679,382,0,0,0,0,679,344,346
4º CRS,RIO CAETES,SANTA LUZIA DO PARA,660,660,164,502,164,0,0,1162,260,259
12º CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,240,240,0,0,0,0,0,240,0,14
5º CRS,METROPOLITANA III,SANTA MARIA DO PARA,564,564,142,286,0,0,0,850,142,84
12º CRS,ARAGUAIA,SANTANA DO ARAGUAIA,326,356,0,30,0,13,0,399,0,16
9º CRS,BAIXO AMAZONAS,SANTAREM,13173,9103,2629,3838,0,30,30,12971,2301,4270
4º CRS,RIO CAETES,SANTAREM NOVO,66,66,46,0,0,0,0,66,36,54
2º CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,217,217,153,0,0,0,0,217,153,61
2º CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,118,118,93,0,0,0,0,118,93,67
11º CRS,CARAJÁS,SAO DOMINGOS DO ARAGUAIA,229,229,201,26,0,0,0,255,151,256
3º CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,237,237,242,0,0,0,0,237,242,235
12º CRS,ARAGUAIA,SAO FELIX DO XINGU,627,1379,229,842,0,19,3,2240,232,44
3º CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,184,184,192,0,0,0,0,184,192,131
11º CRS,CARAJÁS,SAO GERALDO DO ARAGUAIA,491,491,99,240,158,0,0,731,239,127
3º CRS,METROPOLITANA III,SAO JOAO DA PONTA,56,56,59,0,0,0,0,56,59,32
4º CRS,RIO CAETES,SAO JOAO DE PIRABAS,168,168,139,0,0,0,0,168,63,93
11º CRS,CARAJÁS,SAO JOAO DO ARAGUAIA,164,164,83,0,0,0,0,164,82,75
5º CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,436,436,387,0,0,0,0,436,387,381
7º CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,196,196,111,0,0,0,0,196,111,76
12º CRS,ARAGUAIA,SAPUCAIA,82,82,27,0,0,15,8,97,35,12
10º CRS,XINGU,SENADOR JOSE PORFIRIO,670,670,66,544,0,0,0,1214,66,87
7º CRS,MARAJO I,SOURE,145,145,151,0,0,0,0,145,151,138
6º CRS,LAGO TUCURUÍ,TAILANDIA,600,600,451,0,0,0,0,600,451,227
3º CRS,METROPOLITANA III,TERRA ALTA,89,89,98,0,0,0,0,89,98,42
9º CRS,BAIXO AMAZONAS,TERRA SANTA,434,193,215,0,0,0,0,193,127,176
2º CRS,METROPOLITANA II,TOME-ACU,914,557,380,357,182,4,4,918,566,175
4º CRS,RIO CAETES,TRACUATEUA,292,292,162,0,0,0,0,292,85,181
9º CRS,TAPAJOS,TRAIRAO,333,223,115,84,0,0,0,307,97,116
12º CRS,ARAGUAIA,TUCUMA,615,615,70,0,0,0,0,615,70,28
11º CRS,LAGO TUCURUÍ,TUCURUI,1843,1843,922,267,140,13,13,2123,982,1050
5º CRS,METROPOLITANA III,ULIANOPOLIS,502,502,282,0,0,0,0,502,282,321
10º CRS,XINGU,URUARA,354,354,177,0,0,0,0,354,177,240
2º CRS,METROPOLITANA II,VIGIA,416,416,184,0,0,0,0,416,152,95
4º CRS,RIO CAETES,VISEU,451,451,260,0,0,0,0,451,104,209
10º CRS,XINGU,VITORIA DO XINGU,539,539,193,283,0,0,0,822,193,159
12º CRS,ARAGUAIA,XINGUARA,640,640,0,0,0,8,0,648,0,273
