CRS,REGIAO_SAU,MUNICIPIOS,ENVIADOS_SESPA,RECEBIDOS_MUNICIPIOS,TRAB_SAUDE_100,TRAB_SAUDE_75,TRAB_SAUDE_75_VAC_D1,TRAB_SAUDE_75_VAC_D2,INDIGENAS,INDIGENAS_VAC_D1,INDIGENAS_VAC_D2,MAIOR_60,MAIOR_60_VAC_D1,MAIOR_60_VAC_D2,IDOSO_80_89,IDOSOS_90e,IDOSOS_90e_VAC_D1,IDOSOS_90e_VAC_D2,POP_TOTAL,TOTAL_VAC_D1,TOTAL_VAC_D2,TOTAL_VAC
9 CRS,TAPAJOS,AVEIRO,1030,640,166,124,120,35,0,0,0,0,0,0,175,220,138,0,344,258,35,293
8 CRS,MARAJO II,BAGRE,428,428,276,207,194,96,0,0,0,0,0,0,122,31,50,0,238,244,96,340
13 CRS,TOCANTINS,BAIAO,758,758,435,327,243,133,89,0,0,0,0,0,317,81,35,0,496,278,133,411
12 CRS,ARAGUAIA,BANNACH,302,156,98,74,62,0,90,0,0,0,0,0,37,9,0,0,173,62,0,62
6 CRS,TOCANTINS,BARCARENA,2852,2852,2488,1866,1598,206,0,0,0,0,1,0,759,193,261,0,2060,1860,206,2066
1 CRS,METROPOLITANA I,BELEM,67670,67670,64817,48613,0,0,0,0,0,189,0,0,20863,5315,0,0,54117,0,0,0
9 CRS,BAIXO AMAZONAS,BELTERRA,1196,761,170,128,140,10,320,0,0,0,0,0,249,312,280,0,760,420,10,430
1 CRS,METROPOLITANA I,BENEVIDES,943,943,800,600,513,116,0,0,0,0,0,0,497,126,64,0,726,577,116,693
11 CRS,CARAJAS,BOM JESUS DO TOCANTINS,1356,1356,258,193,174,0,508,310,0,0,0,0,159,40,0,0,742,484,0,484
4 CRS,RIO CAETES,BONITO,204,208,180,135,119,18,0,0,0,0,0,0,119,30,0,0,165,119,18,137
4 CRS,RIO CAETES,BRAGANCA,2569,2569,2108,1581,1494,669,0,0,0,0,0,0,1258,321,182,0,1902,1676,669,2345
10 CRS,XINGU,BRASIL NOVO,328,180,236,177,122,4,0,0,0,0,6,0,180,46,6,0,223,134,4,138
11 CRS,CARAJAS,BREJO GRANDE DO ARAGUAIA,150,150,120,90,95,0,0,0,0,0,0,0,88,22,5,0,112,100,0,100
11 CRS,LAGO TUCURUI,BREU BRANCO,633,628,552,414,322,0,0,0,0,5,0,0,438,111,10,0,531,332,0,332
8 CRS,MARAJO II,BREVES,2234,2234,1515,1136,1005,340,0,0,0,0,0,0,828,211,427,0,1347,1432,340,1772
2 CRS,METROPOLITANA II,BUJARU,299,146,224,168,156,0,0,0,0,0,0,0,257,0,0,0,168,156,0,156
7 CRS,MARAJO I,CACHOEIRA DO ARARI,482,426,211,158,146,40,0,0,0,0,0,0,283,72,81,0,230,227,40,267
4 CRS,RIO CAETES,CACHOEIRA DO PIRIA,329,328,258,193,155,0,0,0,0,0,0,0,106,27,7,0,220,162,0,162
13 CRS,TOCANTINS,CAMETA,2143,2170,1682,1261,1220,648,0,0,0,0,0,0,1352,344,224,0,1606,1444,648,2092
11 CRS,CARAJAS,CANAA DOS CARAJAS,1103,1103,942,706,668,0,35,0,0,0,0,0,123,31,6,0,773,674,0,674
4 CRS,RIO CAETES,CAPANEMA,2684,2640,2169,1626,1315,195,0,0,0,19,19,15,925,236,52,0,1881,1386,210,1596
5 CRS,METROPOLITANA III,CAPITAO POCO,1016,1016,923,692,555,205,325,0,0,0,0,0,572,146,74,0,1163,629,205,834
3 CRS,METROPOLITANA III,CASTANHAL,4606,4606,3577,2683,3105,0,0,0,0,38,0,0,1819,463,165,0,3184,3270,0,3270
7 CRS,MARAJO I,CHAVES,432,432,256,192,139,0,0,0,0,0,0,0,178,45,27,0,238,166,0,166
2 CRS,METROPOLITANA II,COLARES,245,123,172,129,114,0,0,0,0,0,0,0,196,10,0,0,139,114,0,114
12 CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,1846,1726,1357,1017,908,7,0,0,0,0,0,0,666,170,240,0,1187,1148,7,1155
2 CRS,METROPOLITANA II,CONCORDIA DO PARA,429,221,332,249,237,96,0,0,0,0,0,0,275,70,0,0,319,237,96,333
12 CRS,ARAGUAIA,CUMARU DO NORTE,1772,904,148,111,79,2,780,10,0,0,0,0,28,7,0,0,898,89,2,91
11 CRS,CARAJAS,CURIONOPOLIS,361,362,251,188,164,0,0,0,0,0,5,0,257,66,2,0,254,171,0,171
8 CRS,MARAJO II,CURRALINHO,512,512,273,205,186,86,0,0,0,0,0,0,224,57,96,0,262,282,86,368
9 CRS,BAIXO AMAZONAS,CURUA,276,187,151,113,93,25,0,0,0,0,0,0,100,125,105,0,238,198,25,223
3 CRS,METROPOLITANA III,CURUCA,696,696,507,381,668,0,0,0,0,0,0,0,600,153,144,0,534,812,0,812
5 CRS,CARAJAS,DOM ELISEU,842,842,539,404,367,35,0,0,0,0,0,0,331,84,13,0,489,380,35,415
11 CRS,CARAJAS,ELDORADO DOS CARAJAS,383,383,288,216,225,0,0,0,0,0,0,0,226,57,8,0,274,233,0,233
9 CRS,BAIXO AMAZONAS,FARO,354,245,220,165,155,71,0,0,0,0,0,0,77,96,92,0,261,247,71,318
12 CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,434,434,343,257,135,14,0,0,0,0,0,0,159,40,0,0,297,135,14,149
5 CRS,METROPOLITANA III,GARRAFAO DO NORTE,738,738,327,246,300,38,0,0,0,0,0,0,236,60,9,0,306,309,38,347
11 CRS,LAGO TUCURUI,GOIANESIA DO PARA,608,608,395,296,273,0,42,37,0,0,0,0,220,56,0,0,394,310,0,310
8 CRS,MARAJO II,GURUPA,744,744,393,295,312,118,0,0,0,0,0,0,226,58,99,0,352,411,118,529
3 CRS,METROPOLITANA III,IGARAPE-ACU,701,701,519,390,374,0,0,0,0,0,0,0,489,125,5,0,514,379,0,379
6 CRS,TOCANTINS,IGARAPE-MIRI,942,942,698,524,503,36,0,0,0,0,0,0,649,165,112,0,689,615,36,651
3 CRS,METROPOLITANA III,INHANGAPI,191,191,163,122,141,0,0,0,0,0,0,0,121,31,0,0,153,141,0,141
5 CRS,METROPOLITANA III,IPIXUNA DO PARA,774,707,762,571,415,84,0,0,0,0,0,0,201,51,14,0,622,429,84,513
5 CRS,METROPOLITANA III,IRITUIA,524,525,268,201,249,0,0,0,0,0,0,0,426,108,0,0,310,249,0,249
9 CRS,TAPAJOS,ITAITUBA,4199,2738,1875,1406,1288,210,1058,195,0,27,26,0,822,1032,584,0,3523,2093,210,2303
11 CRS,CARAJAS,ITUPIRANGA,1471,1471,568,426,340,76,220,0,0,13,13,0,375,95,41,0,754,394,76,470
9 CRS,TAPAJOS,JACAREACANGA,9742,4801,291,219,83,0,4823,1150,79,0,0,0,27,34,23,0,5076,1256,79,1335
11 CRS,LAGO TUCURUI,JACUNDA,736,736,557,417,330,0,38,0,0,0,0,0,443,113,0,0,568,330,0,330
9 CRS,BAIXO AMAZONAS,JURUTI,1392,1037,798,598,582,203,0,0,0,0,0,0,395,496,371,0,1094,953,203,1156
13 CRS,TOCANTINS,LIMOEIRO DO AJURU,437,437,383,287,235,64,0,0,0,0,0,0,228,58,20,0,345,255,64,319
5 CRS,METROPOLITANA III,MAE DO RIO,580,577,559,419,332,104,0,0,0,0,0,0,333,85,18,0,504,350,104,454
3 CRS,METROPOLITANA III,MAGALHAES BARATA,150,150,101,76,84,0,0,0,0,0,0,0,128,32,0,0,109,84,0,84
11 CRS,CARAJAS,MARABA,5492,5449,5010,3758,3074,64,0,0,0,43,43,40,1732,441,235,0,4242,3352,104,3456
3 CRS,METROPOLITANA III,MARACANA,485,485,332,249,207,0,0,0,0,0,0,0,437,111,0,0,360,207,0,207
3 CRS,METROPOLITANA III,MARAPANIM,750,750,574,431,473,0,0,0,0,0,0,0,470,120,48,0,550,521,0,521
1 CRS,METROPOLITANA I,MARITUBA,2251,2251,1413,1060,1160,479,0,0,0,45,43,38,740,189,66,0,1294,1269,517,1786
10 CRS,XINGU,MEDICILANDIA,379,214,306,229,218,85,0,0,0,7,9,0,202,52,1,0,288,228,85,313
8 CRS,MARAJO II,MELGACO,522,522,384,288,221,36,0,0,0,0,0,0,103,26,65,0,314,286,36,322
13 CRS,TOCANTINS,MOCAJUBA,482,482,384,288,219,83,0,0,0,0,0,0,369,94,45,0,382,264,83,347
6 CRS,TOCANTINS,MOJU,862,858,525,394,265,0,87,66,0,0,0,0,532,136,38,0,616,369,0,369
9 CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,464,512,153,115,138,12,0,0,0,0,0,0,208,261,224,0,376,362,12,374
9 CRS,BAIXO AMAZONAS,MONTE ALEGRE,1596,1342,569,426,376,195,0,0,0,0,0,0,758,951,818,0,1377,1194,195,1389
7 CRS,MARAJO I,MUANA,588,588,294,220,210,13,0,0,0,0,0,0,287,73,280,0,293,490,13,503
5 CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,254,253,198,148,146,57,0,0,0,0,0,0,103,26,0,0,174,146,57,203
11 CRS,CARAJAS,NOVA IPIXUNA,250,250,192,144,132,1,0,0,0,0,0,0,131,34,16,0,178,148,1,149
4 CRS,RIO CAETES,NOVA TIMBOTEUA,304,308,240,180,154,40,0,0,0,0,0,0,240,61,0,0,241,154,40,194
9 CRS,TAPAJOS,NOVO PROGRESSO,1842,1011,360,270,240,65,0,0,0,0,0,0,77,96,63,0,366,303,65,368
11 CRS,LAGO TUCURUI,NOVO REPARTIMENTO,2314,2314,920,690,482,0,590,0,0,0,0,0,427,109,0,0,1389,482,0,482
9 CRS,BAIXO AMAZONAS,OBIDOS,3029,1125,509,381,395,117,181,177,0,0,0,0,585,734,567,0,1296,1139,117,1256
13 CRS,TOCANTINS,OEIRAS DO PARA,469,469,357,268,253,99,0,0,0,0,0,0,227,58,47,0,326,300,99,399
9 CRS,BAIXO AMAZONAS,ORIXIMINA,4855,2897,1020,765,672,196,1450,1191,0,0,0,0,649,814,801,0,3029,2664,196,2860
4 CRS,RIO CAETES,OUREM,265,270,203,152,135,50,0,0,0,0,0,0,226,57,40,0,210,175,50,225
12 CRS,ARAGUAIA,OURILANDIA DO NORTE,2950,1481,907,680,633,9,880,63,0,4,4,0,132,34,0,0,1598,700,9,709
10 CRS,XINGU,PACAJA,528,288,492,369,214,28,0,0,0,0,0,0,300,77,12,0,446,226,28,254
11 CRS,CARAJAS,PALESTINA DO PARA,162,162,122,92,92,0,0,0,0,0,0,0,89,23,10,0,114,102,0,102
5 CRS,METROPOLITANA III,PARAGOMINAS,4077,2383,2148,1611,1417,12,777,470,0,18,17,0,550,140,48,0,2546,1952,12,1964
11 CRS,CARAJAS,PARAUAPEBAS,6015,5998,3498,2623,2270,0,1057,1,0,17,17,0,644,164,20,0,3861,2308,0,2308
12 CRS,ARAGUAIA,PAU D ARCO,554,554,156,117,57,2,180,6,0,0,1,0,58,15,1,0,312,65,2,67
4 CRS,RIO CAETES,PEIXE-BOI,159,158,96,72,76,15,0,0,0,0,0,0,142,36,8,0,108,84,15,99
11 CRS,CARAJAS,PICARRA,210,210,150,112,110,0,0,0,0,0,0,0,99,25,0,0,137,110,0,110
9 CRS,BAIXO AMAZONAS,PLACAS,492,361,325,244,190,33,0,0,0,0,0,0,120,150,80,0,394,270,33,303
7 CRS,MARAJO I,PONTA DE PEDRAS,568,568,270,202,198,75,0,0,0,0,0,0,281,71,199,0,274,397,75,472
8 CRS,MARAJO II,PORTEL,820,820,423,318,300,110,0,0,0,0,0,0,341,87,91,0,404,391,110,501
10 CRS,XINGU,PORTO DE MOZ,456,257,415,311,249,18,7,6,0,0,0,0,199,51,13,0,369,268,18,286
9 CRS,BAIXO AMAZONAS,PRAINHA,636,635,282,211,216,107,0,0,0,0,0,0,229,287,286,0,498,502,107,609
4 CRS,RIO CAETES,PRIMAVERA,270,270,260,195,140,60,0,0,0,0,0,0,193,49,0,0,244,140,60,200
4 CRS,RIO CAETES,QUATIPURU,206,202,114,85,98,32,0,0,0,0,0,0,174,44,0,0,129,98,32,130
12 CRS,ARAGUAIA,REDENCAO,2782,2444,1991,1493,1507,170,50,28,0,13,38,0,772,197,0,0,1753,1573,170,1743
12 CRS,ARAGUAIA,RIO MARIA,428,428,339,255,153,10,0,0,0,0,0,0,177,45,0,0,300,153,10,163
11 CRS,CARAJAS,RONDON DO PARA,723,723,561,421,370,0,0,0,0,0,0,0,421,107,0,0,528,370,0,370
9 CRS,TAPAJOS,RUROPOLIS,878,878,475,356,354,173,0,0,0,0,0,0,269,337,240,0,693,594,173,767
4 CRS,RIO CAETES,SALINOPOLIS,633,626,466,350,323,0,0,0,0,0,0,0,379,97,0,0,446,323,0,323
7 CRS,MARAJO I,SALVATERRA,452,452,169,127,129,25,0,0,0,0,0,0,256,65,96,0,192,225,25,250
1 CRS,METROPOLITANA I,SANTA BARBARA DO PARA,378,378,286,214,235,1,0,0,0,0,0,0,188,48,6,0,262,241,1,242
7 CRS,MARAJO I,SANTA CRUZ DO ARARI,236,173,71,53,109,56,0,0,0,0,0,0,78,20,46,0,73,155,56,211
2 CRS,METROPOLITANA II,SANTA ISABEL DO PARA,1275,687,1007,755,614,214,0,0,0,0,46,0,633,114,0,0,869,660,214,874
4 CRS,RIO CAETES,SANTA LUZIA DO PARA,1384,344,181,136,195,85,177,483,0,0,0,0,251,64,42,0,377,720,85,805
12 CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,461,225,371,278,128,0,0,0,0,0,2,0,167,42,0,0,321,130,0,130
5 CRS,METROPOLITANA III,SANTA MARIA DO PARA,1098,501,410,308,170,0,286,151,0,0,27,0,338,86,0,0,680,348,0,348
12 CRS,ARAGUAIA,SANTANA DO ARAGUAIA,708,508,451,338,467,0,30,30,0,13,13,0,278,71,0,0,452,510,0,510
9 CRS,BAIXO AMAZONAS,SANTAREM,20206,13234,8861,6646,3471,1198,3838,0,0,30,30,0,3244,4070,2471,0,14584,5972,1198,7170
4 CRS,RIO CAETES,SANTAREM NOVO,136,132,98,74,66,20,0,0,0,0,0,0,78,20,9,0,94,75,20,95
2 CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,428,219,326,245,193,0,0,0,0,0,0,0,289,0,0,0,245,193,0,193
2 CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,264,123,152,114,127,0,0,0,0,0,0,0,234,0,0,0,114,127,0,127
11 CRS,CARAJAS,SAO DOMINGOS DO ARAGUAIA,499,499,310,232,211,0,26,0,0,0,0,0,367,94,0,0,352,211,0,211
3 CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,462,462,384,288,283,0,0,0,0,0,0,0,278,71,26,0,359,309,0,309
12 CRS,ARAGUAIA,SAO FELIX DO XINGU,2630,1395,941,706,494,10,752,7,0,18,17,2,263,67,0,0,1543,518,12,530
3 CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,372,372,272,204,192,0,0,0,0,0,0,0,233,59,0,0,263,192,0,192
11 CRS,CARAJAS,SAO GERALDO DO ARAGUAIA,946,946,426,319,150,0,240,158,0,0,0,0,280,71,0,0,630,308,0,308
3 CRS,METROPOLITANA III,SAO JOAO DA PONTA,119,119,89,67,59,0,0,0,0,0,0,0,82,21,0,0,88,59,0,59
4 CRS,RIO CAETES,SAO JOAO DE PIRABAS,361,362,258,193,188,33,0,0,0,0,0,0,322,82,75,0,275,263,33,296
11 CRS,CARAJAS,SAO JOAO DO ARAGUAIA,312,312,240,180,102,0,0,0,0,0,0,0,147,38,0,0,218,102,0,102
5 CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,890,867,583,437,648,170,0,0,0,0,0,0,595,152,13,0,589,661,170,831
7 CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,576,596,243,183,123,37,0,0,0,0,0,0,245,62,140,0,245,263,37,300
12 CRS,ARAGUAIA,SAPUCAIA,184,270,117,88,126,0,0,0,0,8,7,0,38,10,0,0,105,133,0,133
10 CRS,XINGU,SENADOR JOSE PORFIRIO,214,126,200,150,123,42,254,144,0,0,0,0,49,12,8,0,416,275,42,317
7 CRS,MARAJO I,SOURE,552,552,112,84,151,111,0,0,0,0,0,0,297,76,284,0,160,435,111,546
6 CRS,LAGO TUCURUI,TAILANDIA,1098,1098,822,616,591,0,0,0,0,0,0,0,361,92,11,0,708,602,0,602
3 CRS,METROPOLITANA III,TERRA ALTA,198,198,136,102,123,0,0,0,0,0,0,0,147,37,0,0,140,123,0,123
9 CRS,BAIXO AMAZONAS,TERRA SANTA,556,438,315,237,188,70,0,0,0,0,0,0,192,241,180,0,478,368,70,438
2 CRS,METROPOLITANA II,TOME-ACU,1838,920,793,595,573,140,320,190,0,4,4,4,538,10,0,0,929,767,144,911
4 CRS,RIO CAETES,TRACUATEUA,585,590,322,241,295,60,0,0,0,0,0,0,330,84,0,0,326,295,60,355
9 CRS,TAPAJOS,TRAIRAO,514,514,203,152,155,47,0,0,0,0,0,0,85,107,78,0,259,233,47,280
12 CRS,ARAGUAIA,TUCUMA,1068,1614,937,703,191,0,0,0,0,0,0,0,240,61,1,0,764,192,0,192
11 CRS,LAGO TUCURUI,TUCURUI,3307,3317,2489,1867,1976,0,267,140,0,13,13,0,693,176,57,0,2323,2186,0,2186
5 CRS,METROPOLITANA III,ULIANOPOLIS,847,847,724,543,406,109,0,0,0,0,0,0,224,57,7,0,600,413,109,522
10 CRS,XINGU,URUARA,656,360,513,385,258,16,0,0,0,0,0,0,274,70,14,0,455,272,16,288
2 CRS,METROPOLITANA II,VIGIA,849,424,573,430,331,0,0,0,0,0,0,0,598,0,0,0,430,331,0,331
4 CRS,RIO CAETES,VISEU,890,890,638,479,460,35,0,0,0,0,0,0,511,130,25,0,609,485,35,520
10 CRS,XINGU,VITORIA DO XINGU,444,259,391,293,257,0,232,198,0,0,0,0,102,26,14,0,551,469,0,469
12 CRS,ARAGUAIA,XINGUARA,1156,1156,951,713,517,0,0,0,0,9,12,12,333,85,17,0,807,546,12,558
